Process	Genome_count	significant_count	p-value
Hypothetical	1277	198	0.99999919175
Unknown	679	62	1.0
Other categories	369	48	0.999861176164
Transport and binding proteins	200	28	0.987928792468
Translation	168	82	3.15556698409e-18
Regulatory functions	156	27	0.808225597428
Photosynthesis and respiration	143	52	1.62816314655e-06
Biosynthesis of cofactors, prosthetic groups, and carriers	125	31	0.0926584734726
Amino acid biosynthesis	97	48	2.4375155885e-11
Energy metabolism	93	33	0.000232502827191
Cellular processes	80	29	0.000365139514491
DNA replication, restriction, modification, recombination, and repair	75	12	0.832179449036
Cell envelope	67	19	0.0549787754607
Purines, pyrimidines, nucleosides, and nucleotides	43	15	0.0139104159185
Fatty acid, phospholipid and sterol metabolism	39	17	0.000548046880692
Central intermediary metabolism	31	10	0.067988761671
Transcription	30	13	0.00261723123891
