process,counts_significant,counts_identified,p_value_depletion,p_value_enrichment,q_value_depletion,depletion_significant,q_value_enrichment,enrichment_significant
Translation,82,128,0.9986659354960518,0.0024436629468020574,0.9986659354960518,No,0.03718693423237883,Yes
Amino acid biosynthesis,48,71,0.9979693927410338,0.004374933439103392,0.9986659354960518,No,0.03718693423237883,Yes
Photosynthesis and respiration,52,79,0.9964293808723543,0.007094809468553926,0.9986659354960518,No,0.04020392032180558,Yes
"Fatty acid, phospholipid and sterol metabolism",17,23,0.9916778149670178,0.025781475610779005,0.9986659354960518,No,0.10957127134581077,No
Transcription,13,17,0.9906451344823856,0.03412133992700892,0.9986659354960518,No,0.11601255575183034,No
Cellular processes,29,48,0.9118236573102968,0.1456642933209505,0.9986659354960518,No,0.41271549774269306,No
Energy metabolism,33,62,0.6338609415191581,0.46725135716653254,0.9796032732568807,No,0.9937912663964228,No
Transport and binding proteins,28,53,0.6089077190705328,0.5014202704518105,0.9796032732568807,No,0.9937912663964228,No
Cell envelope,19,39,0.4043113290763066,0.7144440045347554,0.8113632022157913,No,0.9937912663964228,No
Central intermediary metabolism,10,21,0.4295452247024777,0.730965158387013,0.8113632022157913,No,0.9937912663964228,No
"Purines, pyrimidines, nucleosides, and nucleotides",15,33,0.28294630863115916,0.8228184960291269,0.6871553209613864,No,0.9937912663964228,No
"DNA replication, restriction, modification, recombination, and repair",12,28,0.21877584963521587,0.8767048253523403,0.6198649072997783,No,0.9937912663964228,No
Regulatory functions,27,60,0.16818220884954593,0.889803884673941,0.5718195100884562,No,0.9937912663964228,No
"Biosynthesis of cofactors, prosthetic groups, and carriers",31,71,0.09610471442851543,0.9392174063717535,0.40844503632119056,No,0.9937912663964228,No
Hypothetical,198,408,0.05929696798243658,0.9533725321386334,0.36837654909891704,No,0.9937912663964228,No
Other categories,48,108,0.0650076263115736,0.9568048117482217,0.36837654909891704,No,0.9937912663964228,No
Unknown,62,146,0.010051713969825142,0.9937912663964228,0.17087913748702743,No,0.9937912663964228,No
