process,counts_significant,counts_identified,,p_value,,,q_value,significant,
Translation,82,128,,0.002443663,0.037186934,,0.037186934,Yes,1
Amino acid biosynthesis,48,71,,0.004374933,0.037186934,,0.037186934,Yes,2
Photosynthesis and respiration,52,79,,0.007094809,0.04020392,,0.04020392,Yes,3
"Fatty acid, phospholipid and sterol metabolism",17,23,,0.025781476,0.109571271,,0.109571271,No,4
Transcription,13,17,,0.03412134,0.116012556,,0.116012556,No,5
Cellular processes,29,48,,0.145664293,0.412715498,,0.412715498,No,6
Energy metabolism,33,62,,0.467251357,0.993791266,,0.993791266,No,7
Transport and binding proteins,28,53,,0.50142027,0.993791266,,0.993791266,No,8
Cell envelope,19,39,,0.714444005,0.993791266,,0.993791266,No,9
Central intermediary metabolism,10,21,,0.730965158,0.993791266,,0.993791266,No,10
"Purines, pyrimidines, nucleosides, and nucleotides",15,33,,0.822818496,0.993791266,,0.993791266,No,11
"DNA replication, restriction, modification, recombination, and repair",12,28,,0.876704825,0.993791266,,0.993791266,No,12
Regulatory functions,27,60,,0.889803885,0.993791266,,0.993791266,No,13
"Biosynthesis of cofactors, prosthetic groups, and carriers",31,71,,0.939217406,0.993791266,,0.993791266,No,14
Hypothetical,198,408,,0.953372532,0.993791266,,0.993791266,No,15
Other categories,48,108,,0.956804812,0.993791266,,0.993791266,No,16
Unknown,62,146,,0.993791266,0.993791266,,0.993791266,No,17
,,,,,,0,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,"min(p-value * total_number_of_peptides/rank_of_current_peptide, qvalue_for_peptide_one_row_below)",,,,
