protein,X60_1,X60_2,X60_3,X60_4,X100_1,X100_2,X100_3,X100_4,X200_1,X200_2,X200_3,X200_4,X300_1,X300_2,X300_3,X300_4,X1000_1,X1000_2,X1000_3,X1000_4,f_value,p_value,q_value,significant
slr1721,4895345.19608,4869902.96781,4600334.956590001,4461130.19534,4215133.3596,4365236.7964,4201373.32587,3571204.18695,173164.294657,102911.696219,1285789.3770899998,582537.710686,1289044.80476,101157.661866,994875.297118,780513.81568,618007.5073439999,741558.1121939999,670486.716761,258684.25157300002,112.64701336796827,5.3402928400346177e-11,6.379700398354525e-08,Yes
sll0934,5520611.79521633,6247349.59355535,5607452.44387153,7261498.37492495,5832930.47042722,6573868.78973746,4282355.14726616,5706140.26337783,13244928.7709197,13894543.3267702,11561067.021147,13816242.1639337,14247563.4347364,16396597.4116396,16708048.5712728,15502974.8961324,19246494.5498263,17496913.7406612,18426834.5375159,15729983.071715899,98.1387816087253,1.443337604069287e-10,6.379700398354525e-08,Yes
slr6042,80116.876386,167482.086525,146842.064252,143249.176519,137099.742868,149716.884831,134230.321957,134303.99398499998,320342.840972,289106.993861,217975.28082600003,248643.294067,710256.174226,563607.697878,697568.410937,663074.9311,564551.03286,734370.709103,680757.9955689999,585256.356745,96.32872311637037,1.650018452598755e-10,6.379700398354525e-08,Yes
sll1825,1185284.547945,1276706.29853,1247632.787846,1063743.784933,716890.2495510001,817597.724166,849006.37195,841752.141602,495930.4427762,559200.171778,550080.141804,488629.0017894,477354.16396700003,449926.2646995,427640.09894540004,564709.885631,558609.0461736,439564.8493033,491344.95559300005,442836.9172765,92.20422889807621,2.2590835950375471e-10,6.379700398354525e-08,Yes
sll1663,10365492.650346499,10892060.673997,8265428.43301948,7691160.68485666,8889739.09349175,6631314.51735568,6200674.82056789,9170151.04455583,14150798.0237362,13503703.9646205,12942354.2745927,13532568.4646422,18745721.425016,16330985.1752815,16301475.839805,16430714.3397401,25421549.130140804,23122492.777544398,21827407.7078596,23377032.6403971,92.04854688987061,2.2866309671521594e-10,6.379700398354525e-08,Yes
slr1975,261961.09158,600594.393072,569267.947176,585329.671886,522159.52126400004,580925.395161,564012.667104,696166.18507,2930463.87984,2867900.15856,2625922.92913,3040765.39903,3779327.41483,3446285.02991,3625559.2310900004,3862108.7834,4776353.47811,6012799.3515,3876971.71578,4602246.8853400005,82.19160304793151,5.141341695763747e-10,1.0641965532481104e-07,Yes
sll2011,57714.82116769999,153496.405953,133325.26045,160384.632894,106612.90437999999,158055.088062,103366.21204299999,119388.631061,176816.696717,217978.605921,185160.977283,239362.508514,189388.272226,240487.84777800002,266659.550164,228294.62320700003,513120.704609,533277.332504,504697.75507799996,453093.10889499995,81.71678847944753,5.358279127831858e-10,1.0641965532481104e-07,Yes
sll1808,24578065.414216,18633283.0070841,13736403.4593288,17491242.8606268,21542066.293229003,15981011.871182501,18238509.6580578,13954827.32954,36706614.8097516,40616600.6338585,35930120.120372996,44962381.8505445,35111556.7463411,48704293.68719579,42038266.706999704,43709913.4817966,60128402.096213095,60106714.8662913,65601141.9476056,63940818.7639172,80.23879665257088,6.102919301781278e-10,1.0641965532481104e-07,Yes
slr0077,534549.770148,600431.7579283001,524959.435024,639607.1452520001,543809.336018,535192.402013,511865.87764399993,315721.790152,1957560.686057,1506534.5454815,1189210.9396239999,1668998.8576918002,1790172.591036,2468043.585558,2150153.7498092,2092350.816905,2481878.861435,2229430.5597104,2348204.76654,2186033.435393,68.80087316795954,1.8178618587250005e-09,2.8176858810237513e-07,Yes
sll1688,6906014.53766673,10511712.812505199,8285495.54389496,9977579.00188256,9694768.65928237,8756840.65048199,5485739.10876549,8505910.98181187,16485181.5343823,17518979.4010326,11874675.600777099,18481588.477308802,16704354.267087802,19956237.2336415,18106100.941053398,17176285.4783128,29341315.269866697,27748869.058391497,31563960.5986653,34385579.2074681,66.84050726462455,2.229496071704089e-09,3.110147020027204e-07,Yes
slr0652,4704165.188772,4852047.299521,3996604.498311,4156095.085621,3919477.65391,3476297.4691410004,3224541.422712,3597359.924646,4237845.185507,4375838.34356,3984756.8336870004,4323810.234496,4325724.332483999,4455205.3946,4637021.155328,4291166.41125,6402415.508347,6404322.099494999,6778078.043247,7096695.087739999,65.83885046987355,2.4799845700460825e-09,3.145071341103896e-07,Yes
slr0633,595595.859150365,794169.2215062979,652362.83926354,863680.543677457,1009267.00846246,678414.0325031821,446505.56593221205,927045.530393767,1898299.21292927,2136814.0276391003,1752258.35461916,2186065.05628127,1755578.55708274,2066455.73513573,2134472.83456011,1828679.76050914,3017871.42428161,2631107.18611229,3478707.02673244,2837696.45634619,63.58315499076279,3.1699490964068237e-09,3.685065824572933e-07,Yes
slr2004,3315119.555187,4296471.64881,4276419.0294699995,4478991.12189,3216521.51347,3839623.7645300003,3570100.58996,3329591.999134,1760371.73252,1058717.856819,2421493.90099,1200003.285984,1340553.4570290002,991258.685687,1160530.66686,1079239.2976860001,483681.153457,1087794.142325,662819.921244,766601.7470310001,53.46091785510645,1.065830865331276e-08,1.1386233762288106e-06,Yes
sll8007,96510.03674119999,141839.348673,141052.434449,128376.24871400002,106184.47752100001,193222.42536400002,123325.06621199999,137700.970138,1039725.42634,923813.753743,912496.003773,1022681.8507,799792.700357,847581.574465,790856.7065,813129.024944,940117.389378,1409956.8830799998,894866.307276,1408381.54148,52.927765198722774,1.1427044635988064e-08,1.1386233762288106e-06,Yes
sll0427,45550931.8796421,51350613.715151794,46053405.895096794,50327771.2357798,48294863.2333234,41805444.0116065,44060291.7131711,53454441.0524326,4300246.25960211,3989237.67487345,19644169.3130766,2237728.25114058,24461718.8193435,3010098.39422428,10328967.102006199,11256667.4679579,3384239.7821749,7254796.71791986,3240327.54680533,2981942.45869571,51.85245558034269,1.3176603568483092e-08,1.2254241318689276e-06,Yes
ssl2781,1666117.2127959998,1492368.128882,1413687.872583,1589932.252776,1700203.0984399999,1732372.291282,2432534.7642,2259220.086109,6017755.774730001,6126781.27955,6442220.66389,5853466.34363,8710100.72204,7247200.748539999,5396226.2052,6866010.50025,7501526.809010001,7766523.70972,5991582.08766,6147699.80787,50.51044409220934,1.580167088688825e-08,1.3777081804505692e-06,Yes
sll0272,16911557.7595,15605554.010289999,11425177.65164,11973248.15665,13729456.00604,10629135.07271,12057721.90682,9033096.823919,15056928.582370002,16159717.74481,13352025.077510001,16168282.24757,16069977.092929998,15880296.182,17442357.68127,17552652.82641,26103950.095510002,29726945.0312,31532180.8155,32012319.9723,49.585834486394525,1.79554248850187e-08,1.4410859558575629e-06,Yes
