protein,f_value,p_value,q_value,process
slr1721,112.64701336796827,5.340292840034618e-11,6.379700398354526e-08,Hypothetical
sll0934,98.1387816087253,1.443337604069287e-10,6.379700398354526e-08,Photosynthesis and respiration
slr6042,96.32872311637036,1.650018452598755e-10,6.379700398354526e-08,Transport and binding proteins
sll1825,92.20422889807621,2.2590835950375474e-10,6.379700398354526e-08,Hypothetical
sll1663,92.0485468898706,2.2866309671521597e-10,6.379700398354526e-08,Photosynthesis and respiration
slr1975,82.19160304793152,5.141341695763747e-10,1.0641965532481102e-07,Regulatory functions
sll2011,81.71678847944753,5.358279127831859e-10,1.0641965532481102e-07,Hypothetical
sll1808,80.23879665257088,6.102919301781277e-10,1.0641965532481102e-07,Translation
slr0077,68.80087316795954,1.8178618587250005e-09,2.817685881023752e-07,Amino acid biosynthesis
sll1688,66.84050726462455,2.2294960717040887e-09,3.110147020027204e-07,Amino acid biosynthesis
slr0652,65.83885046987355,2.4799845700460825e-09,3.1450713411038963e-07,Amino acid biosynthesis
slr0633,63.583154990762786,3.169949096406824e-09,3.685065824572933e-07,"Biosynthesis of cofactors, prosthetic groups, and carriers"
slr2004,53.46091785510645,1.065830865331276e-08,1.1386233762288108e-06,Unknown
sll8007,52.927765198722774,1.1427044635988064e-08,1.1386233762288108e-06,Unknown
sll0427,51.852455580342685,1.3176603568483092e-08,1.2254241318689276e-06,Photosynthesis and respiration
ssl2781,50.51044409220934,1.5801670886888252e-08,1.3777081804505692e-06,Hypothetical
sll0272,49.58583448639453,1.79554248850187e-08,1.4410859558575629e-06,Hypothetical
sll0764,49.335432455642156,1.8594657494936292e-08,1.4410859558575629e-06,Transport and binding proteins
ssl1300,48.27115401386811,2.1615360984109326e-08,1.5870225564648694e-06,Hypothetical
slr0841,46.51267098843184,2.7908553545762878e-08,1.94662160981696e-06,Unknown
sll7090,45.229703055531594,3.3818594339873085e-08,2.246520909720141e-06,Unknown
sll1583,43.5547552243083,4.379002128065933e-08,2.7766854402963533e-06,Unknown
slr0006,42.930030341859116,4.833262003343379e-08,2.8440690022469974e-06,Unknown
sll1721,42.693720720518044,5.0188320145906006e-08,2.8440690022469974e-06,Energy metabolism
slr0552,42.59725199807081,5.0968978534892436e-08,2.8440690022469974e-06,Hypothetical
slr2089,41.002027117326996,6.609957991083382e-08,3.4286888697021506e-06,"Fatty acid, phospholipid and sterol metabolism"
sll1452,40.97816219354693,6.63617200587513e-08,3.4286888697021506e-06,Transport and binding proteins
slr0212,39.454461847430075,8.58194549796906e-08,4.209876910259949e-06,Amino acid biosynthesis
slr1542,39.34050390916602,8.751715440683767e-08,4.209876910259949e-06,Other categories
ssl1426,38.67868746272346,9.816217997724306e-08,4.564541368941803e-06,Translation
slr1367,37.93189875319222,1.1197635766336134e-07,5.0389360948512605e-06,Central intermediary metabolism
slr1164,36.947833392256506,1.3367230495947694e-07,5.574624375765811e-06,"Purines, pyrimidines, nucleosides, and nucleotides"
slr0551,36.912695469458974,1.3453078158302784e-07,5.574624375765811e-06,Hypothetical
sll0851,36.858425858784926,1.358689812014606e-07,5.574624375765811e-06,Photosynthesis and respiration
sll1069,36.15025315275143,1.5478888670585421e-07,6.169442770133331e-06,"Fatty acid, phospholipid and sterol metabolism"
slr1755,34.857988974531544,1.9754308729603352e-07,7.288936596312038e-06,"Fatty acid, phospholipid and sterol metabolism"
sll0897,34.62157075484267,2.067368834935372e-07,7.288936596312038e-06,Cellular processes
sml0008,34.53834270674263,2.1008809192610586e-07,7.288936596312038e-06,Photosynthesis and respiration
sll1188,34.47355842126815,2.1273928876018147e-07,7.288936596312038e-06,Hypothetical
sll0170,34.45860414660541,2.1335664200048984e-07,7.288936596312038e-06,Cellular processes
sll1579,34.437608935641514,2.1422681035755805e-07,7.288936596312038e-06,Photosynthesis and respiration
sll1184,33.91841011528705,2.370797153202941e-07,7.853537593041776e-06,"Biosynthesis of cofactors, prosthetic groups, and carriers"
slr1282,33.811729133668514,2.421104029907546e-07,7.853537593041776e-06,Other categories
slr0083,33.69589581736421,2.4771014630382673e-07,7.853537593041776e-06,Transcription
slr0542,33.44622540230256,2.6028629702989515e-07,8.068875207926751e-06,Translation
sll1043,32.737337498143944,3.0012480221306523e-07,9.101610849722304e-06,Transcription
slr0963,32.448981161719736,3.182734683192592e-07,9.235042181873358e-06,Amino acid biosynthesis
sll7086,32.302983125463264,3.2793444603769157e-07,9.235042181873358e-06,Unknown
slr1854,32.27549684907573,3.2979020185162744e-07,9.235042181873358e-06,Unknown
slr1265,32.224585390867624,3.332590467251599e-07,9.235042181873358e-06,Transcription
sll1196,32.161351326015556,3.376251980469829e-07,9.235042181873358e-06,Energy metabolism
slr1658,31.833462522076925,3.6133087953776944e-07,9.6933957106767e-06,Unknown
sll1252,31.28002984055431,4.057502689645951e-07,1.0679653305766228e-05,Hypothetical
slr1362,30.992367439972305,4.312626065624234e-07,1.1140950669529272e-05,Hypothetical
sll1740,30.40052573434687,4.896817575805446e-07,1.2263543018600393e-05,Translation
slr2001,30.375901318079205,4.922999347968616e-07,1.2263543018600393e-05,Other categories
slr1744,30.21665946512629,5.096192368632595e-07,1.2472260270600826e-05,Cell envelope
slr0649,29.172278857097897,6.41916383504614e-07,1.5439195775671322e-05,Translation
sll0634,28.645730660974607,7.231108060649194e-07,1.709728092306038e-05,Photosynthesis and respiration
sll0639,28.538549409441323,7.410289318239402e-07,1.7228922664906607e-05,Hypothetical
slr1666,28.44882193435973,7.564166877778736e-07,1.729838163033006e-05,Regulatory functions
ssl2874,28.358863865980968,7.722084497825761e-07,1.7374690120107965e-05,Hypothetical
sll0861,28.17134517449129,8.063424072532206e-07,1.7854724732035603e-05,Hypothetical
slr1022,27.856941040904307,8.67481088478722e-07,1.8908376850434646e-05,Amino acid biosynthesis
slr0443,27.5907432677242,9.233732605950165e-07,1.9588126183521293e-05,Hypothetical
sll1789,27.575249160258952,9.267500559945559e-07,1.9588126183521293e-05,Transcription
ssl3441,27.175587212274326,1.0188813251088766e-06,2.121402161980422e-05,Translation
sll1258,27.080777365040678,1.0422326089467449e-06,2.1381095433539845e-05,"Purines, pyrimidines, nucleosides, and nucleotides"
slr2136,26.54103025682663,1.18730287211838e-06,2.4004166762393336e-05,Other categories
sll0486,25.895672133308864,1.3917017731956662e-06,2.7734628194399354e-05,Other categories
ssr1600,25.700095248818666,1.4613127151314294e-06,2.8711707571948512e-05,Transcription
slr1055,25.60423290493891,1.4968675305680118e-06,2.895686378107748e-05,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll1101,25.555531440447744,1.5153054165008286e-06,2.895686378107748e-05,Translation
slr1176,25.19322524959281,1.6608398675955376e-06,3.130174840389842e-05,Central intermediary metabolism
slr0670,25.141481881829108,1.6828896991343238e-06,3.130174840389842e-05,Hypothetical
sll0622,24.915996308100663,1.7829305165404388e-06,3.272615882334095e-05,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll1097,24.84556345091972,1.8155477656649414e-06,3.289206666367005e-05,Translation
slr1196,24.766693856819487,1.8528771141627896e-06,3.3137994541757595e-05,Hypothetical
slr1559,24.71541057570776,1.8776161397409141e-06,3.315537360681741e-05,Amino acid biosynthesis
slr0925,24.383301387171255,2.047187479983165e-06,3.569783168220644e-05,"DNA replication, restriction, modification, recombination, and repair"
sll1526,24.257087617910074,2.116129727821817e-06,3.6366796954400175e-05,Hypothetical
sll1987,24.17949438202712,2.1598181700257503e-06,3.6366796954400175e-05,Cellular processes
slr1226,24.17258238643189,2.1637592453155653e-06,3.6366796954400175e-05,"Purines, pyrimidines, nucleosides, and nucleotides"
sll0336,23.808902536541854,2.383089103466024e-06,3.9576301182560745e-05,"Fatty acid, phospholipid and sterol metabolism"
slr0361,23.677441867292167,2.4684866411672834e-06,4.0512221934451286e-05,Translation
slr1150,23.348426576228647,2.697838768566152e-06,4.376145444360212e-05,Unknown
slr0355,23.276598188959174,2.751063408070027e-06,4.411187878457112e-05,Hypothetical
slr0752,23.149075954575785,2.848514609225082e-06,4.51554304530567e-05,Energy metabolism
sll1525,23.080927778868304,2.9021926424535566e-06,4.548942400250237e-05,Photosynthesis and respiration
sll1872,23.026549245606947,2.945847572321628e-06,4.566063737098523e-05,Regulatory functions
slr0783,22.96618667429297,2.995180068565482e-06,4.591512302910821e-05,Photosynthesis and respiration
sll0188,22.79744927968505,3.1381238372616316e-06,4.7583508184564974e-05,Unknown
